241 1444
108 132 0.0229508
108 107 0.0719178
109 3 0.0984848
109 122 0.0861423
109 58 0.0213523
109 22 0.0661765
109 20 0.0148699
109 67 0.0391459
109 101 0.0703704
109 82 0.0282686
109 51 0.0510949
109 237 0.036
109 181 0.0503597
109 19 0.0034965
109 217 0.0213523
109 218 0.0431655
110 34 0.0138408
110 81 0.00638978
110 172 0.0173611
110 104 0.00649351
110 27 0.0164474
110 118 0.00967742
110 109 0.020979
111 86 0.0423077
111 240 0.0339623
111 234 0.0243056
111 92 0.028169
111 87 0.0148699
113 124 0.0496183
113 31 0.0110701
113 120 0.0282686
113 92 0.046595
113 230 0.0380228
113 134 0.0579151
113 97 0.0898876
113 112 0.0654545
114 161 0.0742049
114 154 0.040404
114 130 0.0264901
114 76 0.062069
115 180 0.00326797
115 25 0.0166113
115 205 0.0104167
115 213 0.0163399
115 199 0.029316
115 63 0.00649351
115 190 0.00696864
115 102 0.0131148
115 40 0.0196078
115 175 0.00352113
115 157 0.00320513
115 114 0.0162866
116 100 0.0196078
117 145 0.0104167
117 112 0.0162866
117 232 0.0140351
117 211 0.00909091
117 219 0.0172414
117 10 0.00651466
118 92 0.0401338
118 100 0.0162338
118 165 0.0263158
119 8 0.0284698
119 32 0.0181159
119 26 0.0075188
119 12 0.177686
119 85 0.0511811
119 186 0.027027
119 199 0.0248227
119 174 0.024911
119 49 0.040293
120 13 0.0165563
120 238 0.0230769
120 194 0.0692042
121 8 0.0392157
121 235 0.0210526
121 184 0.010274
121 125 0.0385965
121 222 0.0242215
121 105 0.0350877
121 148 0.0353357
121 225 0.021645
121 81 0.0745763
121 147 0.00322581
121 120 0.106007
122 56 0.00684932
122 201 0.0708955
122 194 0.0472973
123 99 0.0209059
123 224 0.010453
123 35 0.0103448
123 105 0.0111524
123 198 0.00704225
123 66 0.0176056
123 69 0.0112782
123 171 0.0104167
123 87 0.0111524
123 122 0.0210526
124 197 0.016
124 29 0.0348432
124 191 0.0384615
124 10 0.0210526
124 31 0.0223048
124 215 0.0338346
124 112 0.05
125 231 0.0321429
125 87 0.0224719
126 237 0.0220588
126 86 0.0105263
126 98 0.00689655
126 23 0.0234899
126 152 0.00326797
126 25 0.0133779
126 71 0.0075188
126 151 0.024735
126 211 0.0153374
126 2 0.0321429
126 138 0.0166113
126 125 0.00692042
127 63 0.0142349
127 177 0.0246914
127 112 0.0397112
127 11 0.0139373
127 201 0.03125
127 209 0.0763052
127 199 0.0430108
128 86 0.0152091
128 197 0.00809717
128 82 0.0212014
128 54 0.0151515
128 130 0.0140845
128 10 0.00350877
128 25 0.0107527
128 20 0.018797
129 116 0.04
129 66 0.0518519
129 152 0.0965251
129 50 0.0553506
129 113 0.046875
129 33 0.0328467
129 31 0.0268199
131 104 0.02
131 116 0.00653595
131 137 0.00651466
131 152 0.0166113
131 156 0.00993377
131 160 0.0140351
131 150 0.0231023
131 21 0.0142857
131 37 0.020979
132 29 0.0398671
132 154 0.0232558
132 237 0.018315
133 2 0.046332
133 221 0.0177305
133 229 0.0436364
133 163 0.091954
133 56 0.0456274
133 211 0.0330033
133 137 0.0318021
134 10 0.0283688
134 189 0.0774908
134 35 0.0388693
134 92 0.0428571
134 216 0.0245614
135 33 0.0141343
135 229 0.0177936
135 196 0.0189394
135 237 0.0277778
135 120 0.0284698
135 171 0.024735
135 132 0.094697
135 105 0.018797
135 175 0.0233463
135 101 0.0471014
135 126 0.0321429
135 130 0.013986
